date,ot,open,high,low,close,vol,ct,qv,tr,tbv,tbqv,ign,ma20,ma200,signal,vol_ma7
2023-08-14,1691971200000,29303.85,29695.32,29102.45,29430.93,31443.11532,1692057599999,924613476.68179900,671592,15036.11048000,442247506.16738440,0,,,0,
2023-08-15,1692057600000,29430.92,29499.26,29059.6,29200.0,27503.87691,1692143999999,806683957.31001560,591162,12751.63951000,374046205.25905360,0,,,0,
2023-08-16,1692144000000,29200.01,29259.85,28723.08,28730.51,32996.69854,1692230399999,959870747.00631420,768028,14761.86053000,429510396.42982370,0,,,0,
2023-08-17,1692230400000,28730.51,28783.48,25166.0,26623.41,100271.54033,1692316799999,2755821274.34060490,1976577,47495.99471000,1302553963.31062280,0,,,0,
2023-08-18,1692316800000,26623.41,26832.6,25619.0,26054.0,69790.65711,1692403199999,1834219523.69940400,1293122,33522.24573000,881095856.19440350,0,,,0,
2023-08-19,1692403200000,26054.0,26281.0,25801.09,26100.01,26160.75343,1692489599999,680623880.82475540,615764,12952.29598000,337010159.81151820,0,,,0,
2023-08-20,1692489600000,26100.01,26299.0,25971.05,26189.99,19056.91209,1692575999999,497880752.23011580,451543,9909.12930000,258890029.08250630,0,,,0,43889.07910428571
2023-08-21,1692576000000,26190.0,26258.42,25812.0,26126.92,30267.24233,1692662399999,788205156.32159240,565987,14052.07264000,365942107.34064460,0,,,0,43721.09724857144
2023-08-22,1692662400000,26126.92,26139.42,25300.0,26056.0,34247.06688,1692748799999,886782344.16029290,603624,16436.92888000,425661908.61497380,0,,,0,44684.41010142858
2023-08-23,1692748800000,26055.99,26819.27,25812.82,26432.72,44023.69978,1692835199999,1156326251.92241100,673711,21955.66524000,576734438.29540010,0,,,0,46259.695992857145
2023-08-24,1692835200000,26432.71,26577.87,25864.0,26180.05,30205.22116,1692921599999,792966965.89826580,575619,13987.93493000,367233375.41684340,0,,,0,36250.22182571429
2023-08-25,1692921600000,26180.05,26314.05,25777.15,26060.01,27753.33772,1693007999999,722611079.18980740,611438,13258.65894000,345214226.91825400,0,,,0,30244.890484285716
2023-08-26,1693008000000,26060.0,26125.77,25985.92,26017.37,10022.22322,1693094399999,261041530.47580380,329412,4681.90628000,121952627.59767490,0,,,0,27939.386168571426
2023-08-27,1693094400000,26017.38,26182.23,25966.11,26101.77,12099.64216,1693180799999,315548363.01937760,349090,6170.48664000,160918200.39360970,0,,,0,26945.490464285715
2023-08-28,1693180800000,26101.78,26253.99,25864.5,26120.0,22692.62655,1693267199999,591008939.17657000,523057,10912.40549000,284226173.79343950,0,,,0,25863.402495714286
2023-08-29,1693267200000,26120.0,28142.85,25922.0,27716.34,74251.99488,1693353599999,2023326050.75847910,1137083,37945.55071000,1034244032.38146630,0,,,0,31578.39221
2023-08-30,1693353600000,27716.34,27768.57,27017.24,27299.99,35448.25848,1693439999999,969086451.16252570,690292,16715.57712000,456926409.72973200,0,,,0,30353.329167142856
2023-08-31,1693440000000,27299.99,27587.51,25655.01,25940.78,51032.80401,1693526399999,1360373186.01167090,944690,24598.11397000,655707233.88490080,0,,,0,33328.69814571429
2023-09-01,1693526400000,25940.77,26156.0,25333.75,25805.05,41032.15056,1693612799999,1059444591.70974940,881179,19960.99030000,515429946.18317240,0,,,0,35225.67140857143
2023-09-02,1693612800000,25805.04,25987.5,25752.47,25869.51,16250.77698,1693699199999,419812969.94685980,567728,7634.91416000,197234437.02204840,0,26702.768,,0,36115.46480285715
2023-09-03,1693699200000,25869.52,26135.0,25800.0,25971.21,17474.47667,1693785599999,453100690.10210770,496412,8583.16498000,222581536.02684670,0,26529.782,,0,36883.298304285716
2023-09-04,1693785600000,25971.21,26108.02,25631.21,25826.02,21777.59609,1693871999999,563532890.56999930,596830,10177.36860000,263365883.42955560,0,26361.083000000002,,0,36752.57966714286
2023-09-05,1693872000000,25826.03,25915.49,25562.62,25792.1,21323.39337,1693958399999,548893707.60020050,566736,9926.65838000,255537038.46609570,0,26214.1625,,0,29191.35088
2023-09-06,1693958400000,25792.11,26040.0,25372.51,25759.95,27262.52386,1694044799999,700763180.80116770,636302,12736.70564000,327416444.78409590,0,26170.989500000003,,0,28021.96022
2023-09-07,1694044800000,25759.95,26443.14,25615.38,26255.0,27687.49567,1694131199999,718923008.90711830,631929,13506.19156000,350741324.29203730,0,26181.039500000003,,0,24686.91617142857
2023-09-08,1694131200000,26255.0,26445.5,25647.26,25910.5,28999.76471,1694217599999,754184537.10969230,646852,14238.89945000,370236844.43140760,0,26171.564000000002,,0,22968.00390714286
2023-09-09,1694217600000,25910.5,25945.09,25796.64,25901.61,10980.62277,1694303999999,284109473.80757830,359038,5212.44349000,134863388.76288590,0,26157.145,,0,22215.124734285717
2023-09-10,1694304000000,25901.6,26033.66,25570.57,25841.61,18738.26914,1694390399999,483577459.20553450,489773,8747.51072000,225752901.04035010,0,26142.8795,,0,22395.66651571429
2023-09-11,1694390400000,25841.6,25900.69,24901.0,25162.52,41682.32,1694476799999,1057371884.66970660,864138,19664.90243000,498821645.38522220,0,26098.2055,,0,25239.198502857143
2023-09-12,1694476800000,25162.53,26567.0,25131.48,25840.1,56434.38537,1694563199999,1464393036.96166230,1047056,27720.51830000,719147319.97870640,0,26068.5745,,0,30255.054502857143
